Date,Month,Year,Area,FPO,SITENAME,Plot,SpeciesName,SpeciesCount,NumofThrowTraps,SpeciesDensity
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037C,37C,Poecilia latipinna,13,7,1.8571
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037C,37C,Gambusia holbrooki,50,7,7.1429
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037C,37C,Lucania goodei,75,7,10.7143
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037C,37C,Heterandria formosa,116,7,16.5714
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037C,37C,Belostoma spp.,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037C,37C,Corixidae,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037C,37C,Coryphaeschna ingens,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037C,37C,Idiataphe cubensis,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037C,37C,Pelocoris femoratus,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037C,37C,Physella spp.,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037C,37C,Brachymesia gravida,2,7,0.2857
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037C,37C,Ephemeroptera,2,7,0.2857
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037C,37C,Erythemis simplicicollis,2,7,0.2857
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037C,37C,Libellula needhami,2,7,0.2857
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037C,37C,Pomacea paludosa,2,7,0.2857
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037C,37C,Melanoides tuberculata,3,7,0.4286
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037C,37C,Coenagrionidae,6,7,0.8571
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037C,37C,Planorbella scalaris,17,7,2.4286
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037C,37C,Taphromysis louisianae,18,7,2.5714
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037C,37C,Celithemis eponina,21,7,3
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037C,37C,Procambarus spp.,40,7,5.7143
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037C,37C,Siren lacertina,135,7,19.2857
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037C,37C,Palaemonetes paludosus,468,7,66.8571
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 037C,37C,Saggitaria spp.,3,7,0.4286
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 037C,37C,Cladium jamaicense,8,7,1.1429
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 037C,37C,Pontedaria spp.,11,7,1.5714
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 037C,37C,Paspalidium geminatum,28,7,4
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 037C,37C,Panicum hemitomon,42,7,6
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 037C,37C,Eleocharis spp.,1491,7,213
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 07A,07A,Erimyzon sucetta,1,7,0.1429
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 07A,07A,Jordanella floridae,1,7,0.1429
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 07A,07A,Labidesthes sicculus,1,7,0.1429
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 07A,07A,Gambusia holbrooki,4,7,0.5714
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 07A,07A,Heterandria formosa,9,7,1.2857
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 07A,07A,Lucania goodei,25,7,3.5714
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07A,07A,Coenagrionidae,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07A,07A,Corixidae,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07A,07A,Ephemeroptera,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07A,07A,Planorbella duryi,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07A,07A,Rana spp.,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07A,07A,Libellula needhami,2,7,0.2857
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07A,07A,Littoridinops monroensis,2,7,0.2857
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07A,07A,Idiataphe cubensis,3,7,0.4286
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07A,07A,Procambarus spp.,4,7,0.5714
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07A,07A,Brachymesia gravida,5,7,0.7143
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07A,07A,Sphaeriidae,12,7,1.7143
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07A,07A,Physella bermudezi,19,7,2.7143
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07A,07A,Physella spp.,21,7,3
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07A,07A,Celithemis eponina,45,7,6.4286
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07A,07A,Planorbella scalaris,81,7,11.5714
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07A,07A,Taphromysis louisianae,365,7,52.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07A,07A,Palaemonetes paludosus,441,7,63
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 07A,07A,Paspalidium geminatum,6,7,0.8571
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 07A,07A,Panicum hemitomon,93,7,13.2857
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 07A,07A,Eleocharis spp.,379,7,54.1429
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 07B,07B,Jordanella floridae,5,7,0.7143
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 07B,07B,Erimyzon sucetta,9,7,1.2857
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 07B,07B,Poecilia latipinna,9,7,1.2857
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 07B,07B,Fundulus chrysotus,11,7,1.5714
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 07B,07B,Gambusia holbrooki,61,7,8.7143
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 07B,07B,Lucania goodei,76,7,10.8571
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 07B,07B,Heterandria formosa,118,7,16.8571
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07B,07B,Corixidae,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07B,07B,Coryphaeschna ingens,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07B,07B,Brachymesia gravida,2,7,0.2857
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07B,07B,Physella spp.,2,7,0.2857
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07B,07B,Pomacea paludosa,2,7,0.2857
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07B,07B,Physella hendersoni,3,7,0.4286
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07B,07B,Libellula needhami,4,7,0.5714
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07B,07B,Physella bermudezi,6,7,0.8571
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07B,07B,Pelocoris femoratus,8,7,1.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07B,07B,Planorbella duryi,9,7,1.2857
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07B,07B,Taphromysis louisianae,17,7,2.4286
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07B,07B,Celithemis eponina,21,7,3
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07B,07B,Procambarus spp.,27,7,3.8571
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07B,07B,Planorbella scalaris,115,7,16.4286
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07B,07B,Palaemonetes paludosus,563,7,80.4286
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 07B,07B,Paspalidium geminatum,10,7,1.4286
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 07B,07B,Panicum hemitomon,120,7,17.1429
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 07B,07B,Eleocharis spp.,2085,7,297.8571
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 07C,07C,Erimyzon sucetta,1,7,0.1429
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 07C,07C,Fundulus chrysotus,1,7,0.1429
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 07C,07C,Gambusia holbrooki,5,7,0.7143
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 07C,07C,Heterandria formosa,9,7,1.2857
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 07C,07C,Lucania goodei,23,7,3.2857
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07C,07C,Coenagrionidae,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07C,07C,Ephemeroptera,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07C,07C,Physella bermudezi,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07C,07C,Physella hendersoni,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07C,07C,Porifera,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07C,07C,Villosa amygdala,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07C,07C,Physella spp.,2,7,0.2857
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07C,07C,Planorbella duryi,3,7,0.4286
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07C,07C,Procambarus spp.,3,7,0.4286
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07C,07C,Sphaeriidae,12,7,1.7143
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07C,07C,Celithemis eponina,21,7,3
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07C,07C,Planorbella scalaris,69,7,9.8571
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07C,07C,Taphromysis louisianae,101,7,14.4286
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 07C,07C,Palaemonetes paludosus,252,7,36
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 07C,07C,Paspalidium geminatum,2,7,0.2857
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 07C,07C,Panicum hemitomon,200,7,28.5714
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 07C,07C,Eleocharis spp.,342,7,48.8571
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 08A,08A,Elassoma evergladei,1,7,0.1429
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 08A,08A,Erimyzon sucetta,1,7,0.1429
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 08A,08A,Fundulus confluentus,1,7,0.1429
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 08A,08A,Lepomis punctatus,1,7,0.1429
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 08A,08A,Noturus gyrinus,1,7,0.1429
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 08A,08A,Unidentified Fish,1,7,0.1429
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 08A,08A,Cichlasoma uropthalmus,2,7,0.2857
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 08A,08A,Fundulus chrysotus,4,7,0.5714
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 08A,08A,Jordanella floridae,18,7,2.5714
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 08A,08A,Poecilia latipinna,22,7,3.1429
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 08A,08A,Heterandria formosa,31,7,4.4286
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 08A,08A,Gambusia holbrooki,41,7,5.8571
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 08A,08A,Lucania goodei,83,7,11.8571
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08A,08A,Belostoma spp.,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08A,08A,Erythemis simplicicollis,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08A,08A,Hirudinea,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08A,08A,Idiataphe cubensis,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08A,08A,Physella bermudezi,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08A,08A,Physella hendersoni,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08A,08A,Physella spp.,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08A,08A,Planorbella duryi,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08A,08A,Pomacea paludosa,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08A,08A,Rana spp.,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08A,08A,Siren lacertina,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08A,08A,Sphaeriidae,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08A,08A,Coenagrionidae,2,7,0.2857
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08A,08A,Brachymesia gravida,3,7,0.4286
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08A,08A,Libellula needhami,3,7,0.4286
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08A,08A,Taphromysis louisianae,7,7,1
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08A,08A,Pelocoris femoratus,10,7,1.4286
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08A,08A,Planorbella scalaris,24,7,3.4286
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08A,08A,Procambarus spp.,37,7,5.2857
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08A,08A,Celithemis eponina,39,7,5.5714
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08A,08A,Palaemonetes paludosus,616,7,88
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 08A,08A,Saggitaria spp.,1,7,0.1429
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 08A,08A,Potamogeton illinoensis,158,7,22.5714
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 08A,08A,Eleocharis spp.,899,7,128.4286
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 08B,08B,Erimyzon sucetta,1,7,0.1429
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 08B,08B,Fundulus confluentus,1,7,0.1429
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 08B,08B,Poecilia latipinna,3,7,0.4286
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 08B,08B,Fundulus chrysotus,4,7,0.5714
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 08B,08B,Jordanella floridae,8,7,1.1429
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 08B,08B,Lucania goodei,47,7,6.7143
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 08B,08B,Gambusia holbrooki,51,7,7.2857
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 08B,08B,Heterandria formosa,63,7,9
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08B,08B,Physella bermudezi,2,7,0.2857
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08B,08B,Idiataphe cubensis,3,7,0.4286
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08B,08B,Coenagrionidae,4,7,0.5714
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08B,08B,Planorbella scalaris,4,7,0.5714
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08B,08B,Brachymesia gravida,6,7,0.8571
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08B,08B,Pelocoris femoratus,9,7,1.2857
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08B,08B,Procambarus spp.,21,7,3
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08B,08B,Celithemis eponina,37,7,5.2857
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08B,08B,Taphromysis louisianae,45,7,6.4286
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08B,08B,Palaemonetes paludosus,421,7,60.1429
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 08B,08B,Potamogeton illinoensis,1,7,0.1429
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 08B,08B,Paspalidium geminatum,7,7,1
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 08B,08B,Panicum hemitomon,12,7,1.7143
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 08B,08B,Cladium jamaicense,50,7,7.1429
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 08B,08B,Eleocharis spp.,717,7,102.4286
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 08C,08C,Elassoma evergladei,1,7,0.1429
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 08C,08C,Fundulus chrysotus,8,7,1.1429
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 08C,08C,Jordanella floridae,11,7,1.5714
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 08C,08C,Poecilia latipinna,25,7,3.5714
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 08C,08C,Gambusia holbrooki,29,7,4.1429
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 08C,08C,Heterandria formosa,44,7,6.2857
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 08C,08C,Lucania goodei,57,7,8.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08C,08C,Notophthalmus viridescens,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08C,08C,Brachymesia gravida,2,7,0.2857
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08C,08C,Pomacea paludosa,2,7,0.2857
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08C,08C,Libellula needhami,3,7,0.4286
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08C,08C,Physella hendersoni,3,7,0.4286
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08C,08C,Coenagrionidae,5,7,0.7143
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08C,08C,Planorbella duryi,6,7,0.8571
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08C,08C,Planorbella scalaris,10,7,1.4286
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08C,08C,Pelocoris femoratus,18,7,2.5714
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 08C,08C,Procambarus spp.,21,7,3
