LT_PP_Grahl_001,,,,,
SITENAME,Date,Sawgrass_AG_Biomass,Sawgrass_AG_Biomass_STD,Sawgrass_Culm_Density,Sawgrass_Culm_Density_STD
SRS2,2005-01-01,387.5208,158.1191,42,16.46
SRS2,2005-03-01,430.5163,147.0536,55.67,17.62
SRS2,2005-05-01,288.3866,106.6271,42.67,15.5
SRS2,2005-07-01,258.9557,103.4548,37,12.49
SRS2,2005-09-01,274.6889,190.0273,34,13.11
SRS2,2005-11-01,264.3696,107.2102,35.67,11.5
SRS2,2006-01-01,359.5471,65.0618,36.67,9.29
SRS2,2006-03-01,424.8191,159.924,36.67,9.87
SRS2,2006-05-01,417.1035,171.8613,41,15.62
SRS2,2006-07-01,336.9097,188.4392,33.67,12.5
SRS2,2006-09-01,432.372,289.0958,49.67,18.58
SRS2,2006-11-01,401.7052,228.4276,48.67,22.85
SRS2,2007-01-01,291.7262,116.2511,54.33,13.8
SRS2,2007-03-01,306.9998,191.7626,54,20.22
SRS2,2007-05-01,375.8256,179.8131,57,23.52
SRS2,2007-07-01,229.4374,84.3217,33,13
SRS2,2007-09-01,264.4658,49.2924,34,7
SRS2,2007-11-01,439.4645,170.8158,48.33,19.66
SRS2,2008-01-01,334.1622,71.6598,42,7.94
SRS2,2008-03-01,237.2807,161.9737,40,15.72
SRS2,2008-05-01,225.436,31.0374,36.67,2.31
SRS2,2008-07-01,270.0812,20.164,44.33,3.79
SRS2,2008-09-01,337.7539,54.0823,44.33,6.03
SRS2,2008-11-01,345.1013,73.436,41.67,7.51
SRS2,2009-01-01,406.7367,145.0789,36.33,9.24
SRS2,2009-03-01,436.1303,76.6557,39.67,5.13
SRS2,2009-05-01,355.8337,106.9855,43.67,6.03
SRS2,2009-07-01,370.812,81.857,40.33,7.02
SRS2,2009-09-01,282.8487,87.0022,33,8.66
SRS2,2009-11-01,300.3017,86.8954,33.67,6.35
SRS2,2010-01-01,294.1598,10.8995,36.67,4.04
SRS2,2010-03-01,288.4433,24.0632,47.33,9.02
SRS2,2010-05-01,338.726,53.5257,51.33,9.61
SRS2,2010-07-01,253.2798,33.9898,34.33,5.13
SRS2,2010-09-01,305.1926,43.5133,33,2
SRS2,2010-11-01,362.3108,67.5778,39,2
SRS2,2011-01-01,326.2816,57.9213,38,3.61
SRS2,2011-03-01,392.864,58.8812,40,6
SRS2,2011-05-01,322.1535,38.1032,42,7
SRS2,2011-07-01,530.4013,88.4806,49.33,6.51
SRS2,2011-09-01,340.6818,92.4309,43,6.24
SRS2,2011-11-01,294.1277,40.2762,39.33,5.77
SRS2,2012-01-01,331.1799,107.9346,42.67,12.01
SRS2,2012-03-01,530.9388,148.4682,41.33,13.58
SRS2,2012-05-01,292.6342,34.6684,36.33,5.51
SRS2,2012-07-01,264.934,39.8289,38,4
SRS2,2012-09-01,203.6589,40.5637,32,4.58
SRS2,2012-11-01,169.2448,40.9397,25.67,6.66
SRS2,2013-01-01,253.4121,17.6974,29.33,2.08
SRS2,2013-03-01,279.846,109.2631,32,3.61
SRS2,2013-05-01,250.3331,91.7249,34,6.24
SRS2,2013-07-01,196.4379,97.8298,30.67,7.51
SRS2,2013-09-01,162.5716,78.9888,24,7.55
SRS2,2013-11-01,179.3502,46.2603,25.67,3.79
SRS2,2014-01-01,271.7603,104.0004,29.67,6.66
SRS2,2014-03-01,297.5126,142.5223,33.67,9.29
SRS2,2014-05-01,308.0151,102.6253,34,2.65
SRS2,2014-07-01,221.111,120.0249,31,12.49
SRS2,2014-09-01,221.905,123.5693,29.33,10.12
SRS2,2014-11-01,204.9109,64.8011,27.33,8.5
SRS2,2015-01-01,261.6716,109.3318,31.67,12.22
SRS2,2015-03-01,182.6366,45.9952,31.33,7.51
SRS2,2015-05-01,191.0045,77.7082,32,11
SRS2,2015-07-01,191.8372,84.4966,33.67,9.29
SRS2,2015-09-01,226.5997,107.2062,35,10.54
SRS2,2015-11-01,227.167,142.6688,32.67,14.15
SRS2,2016-01-01,265.9232,100.1399,36,10.58
SRS2,2016-03-01,231.2171,97.768,32,8.89
SRS2,2016-05-01,239.6663,55.879,32.67,4.73
SRS2,2016-07-01,322.4971,151.3886,33.67,8.33
SRS2,2016-09-01,289.3533,165.7363,33.67,12.5
SRS2,2016-11-01,290.3198,234.0129,30.33,15.31
SRS2,2017-01-01,346.8851,132.5142,38,13.45
SRS2,2017-03-01,219.9427,91.0644,32.33,15.7
SRS2,2017-05-01,194.1579,140.248,35,15.87
SRS2,2017-07-01,212.9637,136.612,33.67,18.58
SRS2,2017-09-01,-9999,-9999,-9999,-9999
SRS2,2017-11-01,225.5965,186.737,25,14.93
SRS2,2018-01-01,340.4944,239.288,32,17.58
SRS2,2018-03-01,464.0463,336.9394,33.67,18.5
SRS2,2018-05-01,278.8385,186.8729,31,13.89
SRS2,2018-07-01,209.8094,150.4383,23.67,15.95
SRS2,2018-09-01,228.0146,236.4377,21.33,17.93
SRS2,2018-11-01,222.8141,155.0033,23.33,12.74
SRS2,2019-01-01,202.0222,147.3914,23.33,12.74
SRS2,2019-03-01,200.6919,122.006,27.33,11.15
SRS2,2019-05-01,148.2968,114.32,31,19.05
SRS2,2019-07-01,136.4491,67.1526,25.67,13.43
SRS2,2019-09-01,163.7751,117.4961,25.33,17.04
SRS2,2019-11-01,177.3947,134.5851,25.67,15.89
SRS2,2020-01-01,205.2708,168.6249,26.33,19.66
SRS2,2020-03-01,187.9371,145.6964,23,12.12
SRS2,2020-05-01,160.3238,111.9162,28.33,17.93
SRS2,2020-07-01,127.0943,92.978,24.33,17.1
SRS2,2020-09-01,154.6322,148.3549,24.33,16.65
SRS2,2020-11-01,175.9257,178.8603,25.67,14.15
SRS2,2021-01-01,122.8284,111.2284,18.67,12.22
SRS2,2021-03-01,196.6884,170.9405,22.67,18.45
SRS2,2021-05-01,109.8487,38.8219,20,16.64
SRS2,2021-07-01,328.5066,388.7011,27,24.76
SRS2,2021-09-01,130.7352,127.3932,19.67,17.21
SRS2,2021-11-01,101.5129,91.1061,16.33,13.8
SRS2,2022-01-01,135.7917,138.921,17,15.87
SRS3,2000-11-01,650.7782,224.3372,44,7.21
SRS3,2001-01-01,656.8376,43.1162,47.67,5.13
SRS3,2001-03-01,503.755,210.4026,53,6.24
SRS3,2001-05-01,436.2981,82.095,55.33,1.53
SRS3,2001-07-01,548.9944,99.7603,62.67,3.79
SRS3,2001-09-01,536.4951,187.7376,52.67,11.02
SRS3,2001-11-01,415.5626,165.4355,38,6.56
SRS3,2002-01-01,380.9517,144.7626,29.67,5.03
SRS3,2002-03-01,377.3617,94.9078,39.67,7.02
SRS3,2002-05-01,455.8149,122.4819,41.33,0.58
SRS3,2002-07-01,303.7629,88.0202,34.33,2.31
SRS3,2002-09-01,322.8636,116.0958,30.33,6.51
SRS3,2002-11-01,352.1787,136.784,34,2.65
SRS3,2003-01-01,341.7155,100.9811,35,6.24
SRS3,2003-03-01,376.831,108.9257,42,5.29
SRS3,2003-05-01,247.0854,73.2001,40.67,7.37
SRS3,2003-07-01,333.7927,116.3988,41.33,10.12
SRS3,2003-09-01,401.446,91.9284,35.33,2.52
SRS3,2003-11-01,421.7834,166.9097,34.33,1.15
SRS3,2004-01-01,401.4853,148.2409,31.67,3.79
SRS3,2004-03-01,554.8846,92.0981,39.67,2.08
SRS3,2004-05-01,386.6175,113.8303,40.67,4.51
SRS3,2004-07-01,351.3675,40.2649,47,1
SRS3,2004-09-01,345.8288,24.5624,40.67,3.51
SRS3,2004-11-01,402.2187,112.4464,40,6.24
SRS3,2005-01-01,370.8672,111.2311,37,2.65
SRS3,2005-03-01,360.3792,97.8885,48.33,4.16
SRS3,2005-05-01,236.0883,32.4304,35.33,9.61
SRS3,2005-07-01,205.3431,44.5947,29.67,0.58
SRS3,2005-09-01,283.2111,101.8551,32.33,4.73
SRS3,2005-11-01,234.3256,75.6662,29.67,3.79
SRS3,2006-01-01,220.5496,36.935,23.67,3.51
SRS3,2006-03-01,271.5359,68.8974,34,3.46
SRS3,2006-05-01,310.4757,62.1149,36.33,2.31
SRS3,2006-07-01,316.4501,20.7117,30.67,1.15
SRS3,2006-09-01,398.4094,104.5827,37,5.29
SRS3,2006-11-01,382.7063,123.0319,32.67,1.53
SRS3,2007-01-01,459.5835,160.1373,40.33,4.93
SRS3,2007-03-01,321.3275,67.055,46.67,4.93
SRS3,2007-05-01,263.0068,55.0639,38.33,3.06
SRS3,2007-07-01,342.3206,48.9782,43.33,3.79
SRS3,2007-09-01,308.9114,97.1975,36,12
SRS3,2007-11-01,389.6845,54.0534,38.67,5.77
SRS3,2008-01-01,355.1831,26.4632,38.67,3.06
SRS3,2008-03-01,253.6031,73.6138,40.67,9.29
SRS3,2008-05-01,211.8247,59.7295,34.67,5.86
SRS3,2008-07-01,307.0389,120.8925,41,15.13
SRS3,2008-09-01,235.3187,61.6366,31,12.29
SRS3,2008-11-01,284.5748,118.0163,30.33,10.69
SRS3,2009-01-01,204.8614,51.6019,23.67,5.51
SRS3,2009-03-01,181.4595,77.6147,32,14.93
SRS3,2009-05-01,211.3747,122.1501,33.67,13.87
SRS3,2009-07-01,193.6487,122.6019,27,13.45
SRS3,2009-09-01,153.6626,55.6057,19.33,4.93
SRS3,2009-11-01,189.7758,106.3543,22.33,10.41
SRS3,2010-01-01,186.1354,68.6081,21.33,5.51
SRS3,2010-03-01,255.7978,93.6838,31.67,10.02
SRS3,2010-05-01,199.3267,75.5033,33.33,9.61
SRS3,2010-07-01,182.8407,22.9816,26,3
SRS3,2010-09-01,317.6831,24.8641,29,6.56
SRS3,2010-11-01,357.2714,173.5029,32.33,11.5
SRS3,2011-01-01,256.7979,107.8301,31.67,8.33
SRS3,2011-03-01,255.7116,94.6992,37.33,10.5
SRS3,2011-05-01,288.6083,90.8463,44.67,6.81
SRS3,2011-07-01,282.6862,51.3676,44.33,8.08
SRS3,2011-09-01,310.8626,68.7289,38.33,4.04
SRS3,2011-11-01,322.9237,112.4762,34,5.57
SRS3,2012-01-01,476.2985,282.2025,28.33,8.62
SRS3,2012-03-01,624.472,356.4368,35.33,13.61
SRS3,2012-05-01,301.0008,149.7184,39.67,15.01
SRS3,2012-07-01,252.5729,89.3514,31,8.19
SRS3,2012-09-01,333.8915,122.905,35.67,8.08
SRS3,2012-11-01,346.784,142.9753,31.67,11.02
SRS3,2013-01-01,333.6805,144.9974,27.33,8.02
SRS3,2013-03-01,284.2939,126.6062,32.67,12.06
SRS3,2013-05-01,301.0994,161.4544,43.33,20.43
SRS3,2013-07-01,337.3794,235.0968,37,18.36
SRS3,2013-09-01,380.8859,211.3111,36,17.78
SRS3,2013-11-01,243.788,107.1332,25,11.27
SRS3,2014-01-01,308.8248,192.6209,28.67,14.74
SRS3,2014-03-01,328.6568,222.5133,35.67,19.55
SRS3,2014-05-01,201.2464,112.2008,29.67,11.68
SRS3,2014-07-01,286.5893,144.5425,35,16.82
SRS3,2014-09-01,269.4204,142.8477,32.33,15.04
SRS3,2014-11-01,326.2094,160.0054,30,10.58
SRS3,2015-01-01,279.7378,166.026,31,13
SRS3,2015-03-01,221.8241,175.0988,31.33,13.28
SRS3,2015-05-01,183.8596,100.6906,32,17.35
SRS3,2015-07-01,216.8926,137.3299,31.67,20.26
SRS3,2015-09-01,205.9843,131.7825,27.33,15.95
SRS3,2015-11-01,209.2385,111.1765,25,13.23
SRS3,2016-01-01,226.4643,136.5526,26.33,15.01
SRS3,2016-03-01,201.4036,162.6911,23.67,12.1
SRS3,2016-05-01,171.9179,140.9155,28.67,12.1
SRS3,2016-07-01,271.8014,181.8674,26.67,9.71
SRS3,2016-09-01,265.095,147.2281,28.67,12.1
SRS3,2016-11-01,284.0622,209.9997,27,11.79
SRS3,2017-01-01,275.3288,208.0099,26.67,11.5
SRS3,2017-03-01,261.7288,129.3156,29.33,8.62
SRS3,2017-05-01,184.3771,143.7697,25,13.53
SRS3,2017-07-01,237.5645,170.2943,27.33,13.01
SRS3,2017-09-01,-9999,-9999,-9999,-9999
SRS3,2017-11-01,238.8429,224.5277,25,18.52
SRS3,2018-01-01,249.4805,245.6536,20.33,14.5
SRS3,2018-03-01,354.8344,382.5815,17.67,15.57
SRS3,2018-05-01,189.825,172.2234,26.67,18.61
SRS3,2018-07-01,177.8056,150.8708,23.67,20.4
SRS3,2018-09-01,223.9407,217.3999,21,18.73
SRS3,2018-11-01,302.407,287.923,22.33,19.3
SRS3,2019-01-01,147.6392,143.8001,19,13.45
SRS3,2019-03-01,150.2299,131.0451,28.67,21.03
SRS3,2019-05-01,118.5953,73.5616,27.33,18.5
SRS3,2019-07-01,147.5271,154.3004,26.33,23.86
SRS3,2019-09-01,175.0493,144.1314,22.33,19.86
SRS3,2019-11-01,175.5126,135.8433,24,21.07
SRS3,2020-01-01,185.751,155.2229,20.33,17.62
SRS3,2020-03-01,183.3657,162.3882,25.33,22.59
SRS3,2020-05-01,177.2529,150.244,32,28.21
SRS3,2020-07-01,184.3364,147.7289,26.67,21.01
SRS3,2020-09-01,160.1964,145.0173,23.33,18.04
SRS3,2020-11-01,178.5238,156.8428,22.33,15.57
SRS3,2021-01-01,180.4729,158.8797,24.33,19.01
SRS3,2021-03-01,99.0446,71.8983,20,17.69
SRS3,2021-05-01,139.6009,106.0362,22.67,19.55
SRS3,2021-07-01,218.5756,231.5028,24,24.56
SRS3,2021-09-01,145.1164,121.6732,18.67,13.65
SRS3,2021-11-01,156.2541,181.9981,21.33,24.38
SRS3,2022-01-01,132.3511,150.3051,21.67,19.55
SRS1d non-burned,2011-09-01,231.4216,44.7419,29,1.73
SRS1d non-burned,2011-11-01,273.9136,55.0951,34,2
SRS1d non-burned,2012-01-01,284.328,21.8385,34,1
SRS1d non-burned,2012-03-01,155.7424,21.2089,23.67,3.06
SRS1d non-burned,2012-05-01,233.1731,60.4579,33.33,0.58
SRS1d non-burned,2012-07-01,215.426,19.2218,33,1
SRS1d non-burned,2012-09-01,214.6339,45.6011,35.33,2.08
SRS1d non-burned,2012-11-01,216.7512,56.7659,32.33,4.16
SRS1d non-burned,2013-01-01,268.8679,98.3835,33.67,4.73
SRS1d non-burned,2013-03-01,243.0887,18.1974,36.67,2.52
SRS1d non-burned,2013-05-01,229.1597,40.3111,33.33,3.06
SRS1d non-burned,2013-07-01,199.1107,38.401,30.67,3.06
SRS1d non-burned,2013-09-01,191.3157,32.6886,29,2
SRS1d non-burned,2013-11-01,210.8801,35.1543,29.67,2.31
SRS1d non-burned,2014-01-01,231.0736,60.214,28.67,3.21
SRS1d non-burned,2014-03-01,228.5207,4.8403,27,2.65
SRS1d non-burned,2014-05-01,200.2346,23.1461,27,6
SRS1d non-burned,2014-07-01,222.4839,41.9987,30,5.29
SRS1d non-burned,2014-09-01,158.347,18.6709,27,2.65
SRS1d non-burned,2014-11-01,178.1777,38.1793,27.33,6.66
SRS1d non-burned,2015-01-01,241.7176,31.1664,30.67,5.03
