"SITE","DATE","YEAR","Species.Tree","Tree_DBH","Tree_Height","meanWD","AGB","geometry"
"SRS5",2001-05-01,2001-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2001-05-01,2001-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2001-05-01,2001-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2001-05-01,2001-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2001-05-01,2001-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2001-05-01,2001-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2001-05-01,2001-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2001-05-01,2001-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2001-05-01,2001-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2000-12-16,2000-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2000-12-16,2000-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2000-12-16,2000-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2000-12-16,2000-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2000-12-16,2000-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2000-12-16,2000-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2008-02-25,2008-01-01,"A",717,"-9999",0.7764,765.767368249225,c(-81.03234716, 25.37702258)
"SRS5",2011-11-30,2011-01-01,"A",802,"-9999",0.7764,978.054106169999,c(-81.03234716, 25.37702258)
"SRS5",2011-11-30,2011-01-01,"A",595,"-9999",0.7764,508.240267448751,c(-81.03234716, 25.37702258)
"SRS5",2011-11-30,2011-01-01,"A",674,"-9999",0.7764,668.681687480362,c(-81.03234716, 25.37702258)
"SRS5",2011-11-30,2011-01-01,"A",524,"-9999",0.7764,383.693155007493,c(-81.03234716, 25.37702258)
"SRS5",2011-11-30,2011-01-01,"A",527,"-9999",0.7764,388.582133126632,c(-81.03234716, 25.37702258)
"SRS5",2011-11-30,2011-01-01,"A",513,"-9999",0.7764,366.047574688275,c(-81.03234716, 25.37702258)
"SRS5",2006-10-08,2006-01-01,"A",719,"-9999",0.7764,770.451100190158,c(-81.03234716, 25.37702258)
"SRS5",2006-10-08,2006-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2006-10-08,2006-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2006-10-08,2006-01-01,"A",567,"10.1",0.7764,456.913400691872,c(-81.03234716, 25.37702258)
"SRS5",2006-10-08,2006-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2006-10-08,2006-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2006-10-08,2006-01-01,"A",651,"-9999",0.7764,619.581307947504,c(-81.03234716, 25.37702258)
"SRS5",2006-10-08,2006-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2006-10-08,2006-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2006-10-08,2006-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2006-10-08,2006-01-01,"A",53,"-9999",0.7764,1.86991451602954,c(-81.03234716, 25.37702258)
"SRS5",2006-10-08,2006-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2006-10-08,2006-01-01,"A",707,"-9999",0.7764,742.573102089376,c(-81.03234716, 25.37702258)
"SRS5",2006-10-08,2006-01-01,"A",519,"3.3",0.7764,375.617787443792,c(-81.03234716, 25.37702258)
"SRS5",2006-10-08,2006-01-01,"A",595,"-9999",0.7764,508.240267448751,c(-81.03234716, 25.37702258)
"SRS5",2006-10-08,2006-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2006-10-08,2006-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2006-10-08,2006-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2015-12-09,2015-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2015-12-09,2015-01-01,"A",654,"-9999",0.7764,625.874129571782,c(-81.03234716, 25.37702258)
"SRS5",2015-12-09,2015-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2015-12-09,2015-01-01,"A",621,"-9999",0.7764,558.490332196794,c(-81.03234716, 25.37702258)
"SRS5",2015-12-09,2015-01-01,"A",515,"-9999",0.7764,369.223080752432,c(-81.03234716, 25.37702258)
"SRS5",2015-12-09,2015-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2015-12-09,2015-01-01,"A",702,"-9999",0.7764,731.11614113407,c(-81.03234716, 25.37702258)
"SRS5",2015-12-09,2015-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2015-12-09,2015-01-01,"A",301,"-9999",0.7764,110.60949931116,c(-81.03234716, 25.37702258)
"SRS5",2015-12-09,2015-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2015-12-09,2015-01-01,"A",59,"-9999",0.7764,2.42512440728493,c(-81.03234716, 25.37702258)
"SRS5",2015-12-09,2015-01-01,"A",588,"-9999",0.7764,495.137863024206,c(-81.03234716, 25.37702258)
"SRS5",2003-05-29,2003-01-01,"A",697,"5.71",0.7764,719.752569235817,c(-81.03234716, 25.37702258)
"SRS5",2003-05-29,2003-01-01,"A",508,"3.24",0.7764,358.172485850841,c(-81.03234716, 25.37702258)
"SRS5",2003-05-29,2003-01-01,"A",581,"4.75",0.7764,482.216041587061,c(-81.03234716, 25.37702258)
"SRS5",2003-05-29,2003-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2003-05-29,2003-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2003-05-29,2003-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2002-05-19,2002-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2002-05-19,2002-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2002-05-19,2002-01-01,"A",725,"-9999",0.7764,784.59210248416,c(-81.03234716, 25.37702258)
"SRS5",2002-05-19,2002-01-01,"A",565,"-9999",0.7764,453.357553676165,c(-81.03234716, 25.37702258)
"SRS5",2002-05-19,2002-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2002-05-19,2002-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2002-05-19,2002-01-01,"A",647,"-9999",0.7764,611.242894850743,c(-81.03234716, 25.37702258)
"SRS5",2002-05-19,2002-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2002-05-19,2002-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2002-05-19,2002-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2002-05-19,2002-01-01,"A",49,"-9999",0.7764,1.5449422120772,c(-81.03234716, 25.37702258)
"SRS5",2002-05-19,2002-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2013-12-13,2013-01-01,"A",16,"-9999",0.7764,0.095404031125482,c(-81.03234716, 25.37702258)
"SRS5",2013-12-13,2013-01-01,"A",604,"-9999",0.7764,525.3518532059,c(-81.03234716, 25.37702258)
"SRS5",2013-12-13,2013-01-01,"A",691,"-9999",0.7764,706.239492767094,c(-81.03234716, 25.37702258)
"SRS5",2013-12-13,2013-01-01,"A",524,"-9999",0.7764,383.693155007493,c(-81.03234716, 25.37702258)
"SRS5",2013-12-13,2013-01-01,"A",539,"-9999",0.7764,408.466626943548,c(-81.03234716, 25.37702258)
"SRS5",2013-12-13,2013-01-01,"A",529,"-9999",0.7764,391.859695397154,c(-81.03234716, 25.37702258)
"SRS5",2009-11-19,2009-01-01,"A",746,"-9999",0.7764,835.147352163095,c(-81.03234716, 25.37702258)
"SRS5",2009-11-19,2009-01-01,"A",527,"-9999",0.7764,388.582133126632,c(-81.03234716, 25.37702258)
"SRS5",2009-11-19,2009-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2009-11-19,2009-01-01,"A",570,"-9999",0.7764,462.274725572956,c(-81.03234716, 25.37702258)
"SRS5",2009-11-19,2009-01-01,"A",297,"-9999",0.7764,107.301248434515,c(-81.03234716, 25.37702258)
"SRS5",2009-11-19,2009-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2009-11-19,2009-01-01,"A",674,"-9999",0.7764,668.681687480362,c(-81.03234716, 25.37702258)
"SRS5",2009-11-19,2009-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2009-11-19,2009-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2009-11-19,2009-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2009-11-19,2009-01-01,"A",53,"-9999",0.7764,1.86991451602954,c(-81.03234716, 25.37702258)
"SRS5",2009-11-19,2009-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2008-02-25,2008-01-01,"A",728,"-9999",0.7764,791.713136329687,c(-81.03234716, 25.37702258)
"SRS5",2008-02-25,2008-01-01,"A",297,"-9999",0.7764,107.301248434515,c(-81.03234716, 25.37702258)
"SRS5",2008-02-25,2008-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2008-02-25,2008-01-01,"A",569,"-9999",0.7764,460.483942599023,c(-81.03234716, 25.37702258)
"SRS5",2008-02-25,2008-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2008-02-25,2008-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2008-02-25,2008-01-01,"A",654,"-9999",0.7764,625.874129571782,c(-81.03234716, 25.37702258)
"SRS5",2008-02-25,2008-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2008-02-25,2008-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2008-02-25,2008-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2008-02-25,2008-01-01,"A",53,"-9999",0.7764,1.86991451602954,c(-81.03234716, 25.37702258)
"SRS5",2008-02-25,2008-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2008-02-25,2008-01-01,"A",529,"-9999",0.7764,391.859695397154,c(-81.03234716, 25.37702258)
"SRS5",2008-02-25,2008-01-01,"A",613,"-9999",0.7764,542.762626458945,c(-81.03234716, 25.37702258)
"SRS5",2008-02-25,2008-01-01,"A",501,"-9999",0.7764,347.300045129181,c(-81.03234716, 25.37702258)
"SRS5",2008-02-25,2008-01-01,"A",307,"-9999",0.7764,115.674016664961,c(-81.03234716, 25.37702258)
"SRS5",2008-02-25,2008-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2017-05-28,2017-01-01,"A",660,"-9999",0.7764,638.560138625098,c(-81.03234716, 25.37702258)
"SRS5",2017-05-28,2017-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2017-05-28,2017-01-01,"A",622,"-9999",0.7764,560.472949449311,c(-81.03234716, 25.37702258)
"SRS5",2017-05-28,2017-01-01,"A",515,"-9999",0.7764,369.223080752432,c(-81.03234716, 25.37702258)
"SRS5",2017-05-28,2017-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2017-05-28,2017-01-01,"A",703,"-9999",0.7764,733.400060766775,c(-81.03234716, 25.37702258)
"SRS5",2017-05-28,2017-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2017-05-28,2017-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2017-05-28,2017-01-01,"A",306,"-9999",0.7764,114.821405884838,c(-81.03234716, 25.37702258)
"SRS5",2017-05-28,2017-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2017-05-28,2017-01-01,"A",49,"-9999",0.7764,1.5449422120772,c(-81.03234716, 25.37702258)
"SRS5",2017-05-28,2017-01-01,"A",598,"-9999",0.7764,513.910909150612,c(-81.03234716, 25.37702258)
"SRS5",2017-05-28,2017-01-01,"A",81,"-9999",0.7764,5.1963924476254,c(-81.03234716, 25.37702258)
"SRS5",2017-05-28,2017-01-01,"A",618,"-9999",0.7764,552.564690616104,c(-81.03234716, 25.37702258)
"SRS5",2017-05-28,2017-01-01,"A",710,"-9999",0.7764,749.492123937106,c(-81.03234716, 25.37702258)
"SRS5",2017-05-28,2017-01-01,"A",523,"-9999",0.7764,382.070790366405,c(-81.03234716, 25.37702258)
"SRS5",2017-05-28,2017-01-01,"A",579,"-9999",0.7764,478.557235056015,c(-81.03234716, 25.37702258)
"SRS5",2017-05-28,2017-01-01,"A",533,"-9999",0.7764,398.458628275836,c(-81.03234716, 25.37702258)
"SRS5",2015-12-09,2015-01-01,"A",53,"-9999",0.7764,1.86991451602954,c(-81.03234716, 25.37702258)
"SRS5",2015-12-09,2015-01-01,"A",618,"-9999",0.7764,552.564690616104,c(-81.03234716, 25.37702258)
"SRS5",2015-12-09,2015-01-01,"A",704,"-9999",0.7764,735.687716322377,c(-81.03234716, 25.37702258)
"SRS5",2015-12-09,2015-01-01,"A",529,"-9999",0.7764,391.859695397154,c(-81.03234716, 25.37702258)
"SRS5",2015-12-09,2015-01-01,"A",579,"-9999",0.7764,478.557235056015,c(-81.03234716, 25.37702258)
"SRS5",2015-12-09,2015-01-01,"A",533,"-9999",0.7764,398.458628275836,c(-81.03234716, 25.37702258)
"SRS5",2011-11-30,2011-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2011-11-30,2011-01-01,"A",583,"-9999",0.7764,485.88957446718,c(-81.03234716, 25.37702258)
"SRS5",2011-11-30,2011-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2011-11-30,2011-01-01,"A",571,"-9999",0.7764,464.069183988909,c(-81.03234716, 25.37702258)
"SRS5",2011-11-30,2011-01-01,"A",317,"-9999",0.7764,124.388153131572,c(-81.03234716, 25.37702258)
"SRS5",2011-11-30,2011-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2011-11-30,2011-01-01,"A",682,"-9999",0.7764,686.221731576564,c(-81.03234716, 25.37702258)
"SRS5",2011-11-30,2011-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2011-11-30,2011-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2011-11-30,2011-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2011-11-30,2011-01-01,"A",53,"-9999",0.7764,1.86991451602954,c(-81.03234716, 25.37702258)
"SRS5",2011-11-30,2011-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2009-11-19,2009-01-01,"A",717,"-9999",0.7764,765.767368249225,c(-81.03234716, 25.37702258)
"SRS5",2009-11-19,2009-01-01,"A",579,"-9999",0.7764,478.557235056015,c(-81.03234716, 25.37702258)
"SRS5",2009-11-19,2009-01-01,"A",645,"-9999",0.7764,607.095973007231,c(-81.03234716, 25.37702258)
"SRS5",2009-11-19,2009-01-01,"A",520,"-9999",0.7764,377.225571188323,c(-81.03234716, 25.37702258)
"SRS5",2009-11-19,2009-01-01,"A",511,"-9999",0.7764,362.88662603305,c(-81.03234716, 25.37702258)
"SRS5",2009-11-19,2009-01-01,"A",310,"-9999",0.7764,118.252338167555,c(-81.03234716, 25.37702258)
"SRS5",2019-10-04,2019-01-01,"A",666,"-9999",0.7764,651.380044026704,c(-81.03234716, 25.37702258)
"SRS5",2019-10-04,2019-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2019-10-04,2019-01-01,"A",623,"-9999",0.7764,562.459269190384,c(-81.03234716, 25.37702258)
"SRS5",2019-10-04,2019-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2019-10-04,2019-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2019-10-04,2019-01-01,"A",708,"-9999",0.7764,744.875704893242,c(-81.03234716, 25.37702258)
"SRS5",2019-10-04,2019-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2019-10-04,2019-01-01,"A",312,"-9999",0.7764,119.988310040145,c(-81.03234716, 25.37702258)
"SRS5",2019-10-04,2019-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2019-10-04,2019-01-01,"A",804,"-9999",0.7764,983.376062174304,c(-81.03234716, 25.37702258)
"SRS5",2019-10-04,2019-01-01,"A",595,"-9999",0.7764,508.240267448751,c(-81.03234716, 25.37702258)
"SRS5",2019-10-04,2019-01-01,"A",712,"-9999",0.7764,754.123496561652,c(-81.03234716, 25.37702258)
"SRS5",2019-10-04,2019-01-01,"A",529,"-9999",0.7764,391.859695397154,c(-81.03234716, 25.37702258)
"SRS5",2019-10-04,2019-01-01,"A",586,"-9999",0.7764,491.427495235337,c(-81.03234716, 25.37702258)
"SRS5",2019-10-04,2019-01-01,"A",577,"-9999",0.7764,474.913150476113,c(-81.03234716, 25.37702258)
"SRS5",2013-12-11,2013-01-01,"A",573,"-9999",0.7764,467.66912941993,c(-81.03234716, 25.37702258)
"SRS5",2013-12-11,2013-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2013-12-11,2013-01-01,"A",628,"-9999",0.7764,572.446421719445,c(-81.03234716, 25.37702258)
"SRS5",2013-12-11,2013-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2013-12-11,2013-01-01,"A",509,"-9999",0.7764,359.740229150385,c(-81.03234716, 25.37702258)
"SRS5",2013-12-11,2013-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2013-12-11,2013-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2013-12-11,2013-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
